time,process,threads,memory_percent
2020-4-2,214,2723,63.0
2020-4-2,214,2721,63.1
2020-4-2,214,2720,63.1
2020-4-2,214,2721,62.9
2020-4-2,214,2721,63.0
2020-4-2,214,2719,63.0
2020-4-2,214,2720,63.0
2020-4-2,214,2720,63.1
2020-4-2,214,2717,63.2
2020-4-2,214,2714,63.2
2020-4-2,214,2713,63.3
2020-4-2,214,2712,61.7
2020-4-2,214,2713,61.3
2020-4-2,214,2712,61.4
2020-4-2,214,2711,61.5
2020-4-2,214,2708,61.6
2020-4-2,214,2704,61.6
2020-4-2,214,2703,61.6
2020-4-2,214,2701,61.1
2020-4-2,214,2697,61.0
2020-4-2,215,2698,61.1
2020-4-2,214,2699,60.8
2020-4-2,214,2699,60.7
2020-4-2,214,2699,60.8
2020-4-2,214,2699,60.7
2020-4-2,214,2699,60.6
2020-4-2,214,2699,60.6
2020-4-2,214,2696,60.6
2020-4-2,214,2696,60.6
2020-4-2,214,2696,60.6
2020-4-2,214,2696,60.6
2020-4-2,214,2696,60.6
2020-4-2,214,2696,60.7
2020-4-2,214,2696,60.6
2020-4-2,214,2693,60.6
2020-4-2,213,2693,60.5
2020-4-2,214,2700,60.5
2020-4-2,214,2700,60.5
2020-4-2,214,2700,60.5
2020-4-2,214,2700,60.5
2020-4-2,214,2700,60.5
2020-4-2,214,2699,60.5
2020-4-2,214,2718,60.8
2020-4-2,219,2781,61.0
2020-4-2,222,2799,61.0
2020-4-2,220,2804,60.9
2020-4-2,220,2807,60.9
2020-4-2,220,2809,60.9
2020-4-2,220,2786,60.8
2020-4-2,218,2787,60.8
2020-4-2,218,2787,60.8
2020-4-2,218,2788,60.8
2020-4-2,218,2788,60.8
2020-4-2,218,2788,60.8
2020-4-2,218,2788,60.8
2020-4-2,218,2788,60.8
2020-4-2,218,2789,60.8
2020-4-2,218,2789,60.8
2020-4-2,218,2788,60.8
2020-4-2,218,2788,60.8
2020-4-2,218,2788,60.8
2020-4-2,218,2787,60.8
2020-4-2,218,2787,60.8
2020-4-2,218,2787,60.8
2020-4-2,218,2787,60.8
2020-4-2,218,2787,60.8
2020-4-2,218,2788,60.8
2020-4-2,218,2790,60.8
2020-4-2,218,2790,60.8
2020-4-2,218,2784,60.8
2020-4-2,218,2780,60.7
2020-4-2,218,2774,60.7
2020-4-2,218,2772,60.7
2020-4-2,218,2770,60.7
2020-4-2,218,2769,60.7
2020-4-2,218,2768,60.1
2020-4-2,218,2765,60.1
2020-4-2,218,2764,60.1
2020-4-2,218,2761,60.1
2020-4-2,218,2757,60.1
2020-4-2,219,2754,60.1
2020-4-2,219,2748,60.1
2020-4-2,218,2727,60.1
2020-4-2,218,2718,60.1
2020-4-2,218,2720,60.1
2020-4-2,218,2715,60.1
2020-4-2,218,2713,60.1
2020-4-2,218,2697,60.1
2020-4-2,218,2699,60.2
2020-4-2,219,2697,60.1
2020-4-2,218,2676,60.1
2020-4-2,218,2674,60.1
2020-4-2,218,2673,60.1
2020-4-2,218,2670,60.1
2020-4-2,218,2669,60.1
2020-4-2,218,2669,60.1
2020-4-2,218,2669,60.1
2020-4-2,218,2666,60.1
2020-4-2,218,2659,60.1
2020-4-2,219,2660,60.1
2020-4-2,218,2661,60.1
2020-4-2,218,2662,60.1
2020-4-2,218,2664,60.1
2020-4-2,218,2664,60.1
2020-4-2,218,2664,60.1
2020-4-2,218,2663,60.1
2020-4-2,218,2661,60.1
2020-4-2,218,2658,60.1
2020-4-2,218,2656,60.1
2020-4-2,218,2651,60.1
2020-4-2,218,2646,60.1
2020-4-2,218,2644,60.1
2020-4-2,218,2642,60.1
2020-4-2,218,2636,60.1
2020-4-2,218,2636,60.1
2020-4-2,218,2635,60.1
2020-4-2,218,2622,60.1
2020-4-2,218,2622,60.0
2020-4-2,218,2621,60.0
2020-4-2,218,2621,60.0
2020-4-2,218,2621,60.0
2020-4-2,218,2620,59.6
2020-4-2,218,2619,59.6
2020-4-2,218,2616,59.6
2020-4-2,218,2615,59.6
2020-4-2,218,2612,59.6
2020-4-2,218,2605,59.6
2020-4-2,218,2602,59.6
2020-4-2,218,2600,59.6
2020-4-2,218,2597,59.6
2020-4-2,218,2581,59.6
2020-4-2,217,2583,59.6
2020-4-2,217,2581,59.6
2020-4-2,217,2579,59.6
2020-4-2,217,2578,59.6
2020-4-2,217,2579,59.6
2020-4-2,217,2580,59.6
2020-4-2,217,2580,59.6
2020-4-2,217,2581,59.6
2020-4-2,217,2583,59.6
2020-4-2,217,2583,59.6
2020-4-2,217,2583,59.6
2020-4-2,217,2584,59.6
2020-4-2,217,2577,59.6
2020-4-2,217,2577,59.6
2020-4-2,217,2575,59.6
2020-4-2,217,2575,59.6
2020-4-2,217,2570,59.6
2020-4-2,216,2569,59.6
2020-4-2,216,2569,59.6
2020-4-2,216,2569,59.6
2020-4-2,216,2569,59.6
2020-4-2,216,2569,59.6
2020-4-2,216,2568,59.6
2020-4-2,216,2568,59.6
2020-4-2,216,2568,59.6
2020-4-2,216,2566,59.6
2020-4-2,216,2566,59.6
2020-4-2,216,2566,59.6
2020-4-2,216,2566,59.6
2020-4-2,216,2566,59.6
2020-4-2,216,2566,59.6
2020-4-2,216,2566,59.6
2020-4-2,216,2566,59.6
2020-4-2,216,2569,59.5
2020-4-2,216,2569,59.5
2020-4-2,216,2569,59.2
2020-4-2,216,2568,59.0
2020-4-2,216,2568,59.0
2020-4-2,216,2567,59.0
2020-4-2,216,2566,59.0
2020-4-2,216,2565,59.0
2020-4-2,216,2563,59.0
2020-4-2,216,2564,59.0
2020-4-2,216,2564,59.0
2020-4-2,216,2553,59.0
2020-4-2,215,2553,59.0
2020-4-2,215,2556,59.0
2020-4-2,215,2552,59.0
2020-4-2,215,2551,59.0
2020-4-2,215,2556,59.0
2020-4-2,215,2554,59.0
2020-4-2,215,2553,59.0
2020-4-2,215,2555,59.0
2020-4-2,215,2553,59.0
2020-4-2,215,2550,59.0
2020-4-2,215,2550,59.0
2020-4-2,215,2550,58.6
2020-4-2,215,2551,58.6
2020-4-2,215,2553,58.6
2020-4-2,215,2553,58.6
2020-4-2,215,2553,58.6
2020-4-2,215,2552,58.6
2020-4-2,215,2552,58.6
2020-4-2,215,2553,58.6
2020-4-2,215,2554,58.6
2020-4-2,215,2554,58.6
2020-4-2,215,2554,58.6
2020-4-2,215,2554,58.6
2020-4-2,215,2554,58.6
2020-4-2,215,2554,58.6
2020-4-2,215,2554,58.6
2020-4-2,215,2555,58.6
2020-4-2,215,2553,58.6
2020-4-2,215,2553,58.6
2020-4-2,215,2552,58.6
2020-4-2,215,2552,58.6
2020-4-2,215,2552,58.6
2020-4-2,215,2547,58.6
2020-4-2,214,2543,58.5
2020-4-2,215,2551,57.7
2020-4-2,215,2552,57.5
2020-4-2,215,2552,57.5
2020-4-2,217,2562,57.7
2020-4-2,215,2563,57.7
2020-4-2,215,2563,57.7
2020-4-2,215,2563,57.7
2020-4-2,215,2562,57.7
2020-4-2,215,2562,57.7
2020-4-2,215,2560,57.7
2020-4-2,215,2560,57.7
2020-4-2,215,2557,57.7
2020-4-2,215,2559,57.8
2020-4-2,215,2559,57.8
2020-4-2,215,2560,57.8
2020-4-2,215,2561,57.8
2020-4-2,215,2560,57.8
2020-4-2,215,2560,57.8
2020-4-2,215,2560,57.8
2020-4-2,215,2560,57.8
2020-4-2,215,2557,57.8
2020-4-2,215,2557,57.7
2020-4-2,215,2557,57.7
2020-4-2,215,2557,57.7
2020-4-2,215,2557,57.7
2020-4-2,215,2556,57.7
2020-4-2,215,2551,57.7
2020-4-2,215,2550,57.8
2020-4-2,215,2551,57.8
2020-4-2,215,2551,57.8
2020-4-2,215,2550,57.8
2020-4-2,215,2550,57.7
2020-4-2,215,2548,57.7
2020-4-2,215,2548,57.7
2020-4-2,215,2548,57.7
